Train No.,99059,99505,99061,99507,99267,99063,99509,99065,99511,99067,99513,99515,99069,99517,99071,99073,99519
TNA,20:50,21:00,21:11,21:20,21:30,21:36,21:41,21:52,22:01,22:15,22:25,22:45,22:55,23:09,23:14,23:32,23:45
DIGH,20:55,21:05,21:16,21:25,21:35,21:41,21:46,21:57,22:06,22:20,22:30,22:50,23:00,23:14,23:19,23:37,23:50
AIRL,20:58,21:08,21:19,21:28,21:38,21:44,21:49,22:00,22:09,22:23,22:33,22:53,23:03,23:17,23:22,23:40,23:53
RABE,21:01,21:11,21:22,21:31,21:41,21:47,21:52,22:03,22:12,22:26,22:36,22:56,23:06,23:20,23:25,23:43,23:56
GNSL,21:04,21:14,21:25,21:34,21:44,21:50,21:55,22:06,22:15,22:29,22:39,22:59,23:09,23:23,23:28,23:46,23:59
KPHN,21:07,21:17,21:28,21:37,21:47,21:53,21:58,22:09,22:18,22:32,22:42,23:02,23:12,23:26,23:31,23:49,00:02
TUH,21:11,21:21,21:32,21:41,21:51,21:57,22:02,22:13,22:22,22:36,22:46,23:06,23:16,23:30,23:35,23:53,00:06
SNPD,,21:25,,21:45,,,22:06,,22:26,,22:50,23:10,,23:34,,,00:10
VSH,,21:29,,21:49,,,22:10,,22:31,,22:54,23:14,,23:38,,,00:14
JNJ,21:15,,21:36,,21:56,22:01,,22:17,,22:40,,,23:20,,23:39,23:57,
NEU,21:19,,21:40,,22:02,22:05,,22:23,,22:44,,,23:24,,23:43,00:01,
SWDV,21:23,,21:43,,,22:09,,22:27,,22:48,,,23:28,,23:47,00:05,
BEPR,21:27,,21:47,,,22:13,,22:31,,22:52,,,23:32,,23:51,00:09,
KHAG,21:31,,21:51,,,22:17,,22:35,,22:56,,,23:36,,23:55,00:13,
MANR,21:34,,21:54,,,22:20,,22:38,,22:59,,,23:39,,23:58,00:16,
KNDS,21:37,,21:57,,,22:23,,22:41,,23:02,,,23:42,,00:01,00:19,
PNVL,21:42,,22:02,,,22:28,,22:46,,23:07,,,23:47,,00:06,00:24,
