Station,platform,99235,99027,99455,99237,99457,99029,99239,99459,99031,99461,99033,99463,99241,99035,99465,99243,99467,99469,99037
TNA,9 & 10,13:10,13:24,13:30,13:37,13:50,14:03,14:13,14:19,14:36,14:46,14:54,15:00,15:05,15:20,15:25,15:30,15:40,15:52,16:00
DIGH,2 LEFT,13:15,13:29,13:35,13:42,13:55,14:08,14:18,14:24,14:41,14:51,14:59,15:05,15:10,15:25,15:30,15:35,15:45,15:57,16:05
AIRL,1 BOTH,13:18,13:32,13:38,13:45,13:58,14:11,14:21,14:27,14:44,14:54,15:02,15:08,15:13,15:28,15:33,15:38,15:48,16:00,16:08
RABE,1 BOTH,13:21,13:35,13:41,13:48,14:01,14:14,14:24,14:30,14:47,14:57,15:05,15:11,15:16,15:31,15:36,15:41,15:51,16:03,16:11
GNSL,1 BOTH,13:24,13:38,13:44,13:51,14:04,14:17,14:27,14:33,14:50,15:00,15:08,15:14,15:19,15:34,15:39,15:44,15:54,16:06,16:14
KPHN,1 BOTH,13:27,13:41,13:47,13:54,14:07,14:20,14:30,14:36,14:53,15:03,15:11,15:17,15:22,15:37,15:42,15:47,15:57,16:09,16:17
TUH,1 BOTH,13:31,13:45,13:51,13:58,14:11,14:24,14:34,14:40,14:57,15:07,15:15,15:21,15:26,15:41,15:46,15:51,16:01,16:13,16:21
SNPD,2 BOTH,,,13:55,,14:15,,,14:44,,15:11,,15:25,,,15:50,,16:05,16:17,
VSH,1/2 BOTH,,,13:59,,14:19,,,14:48,,15:15,,15:29,,,15:54,,16:09,16:23,
JNJ,1 BOTH,13:35,13:49,,14:02,,14:28,14:38,,15:01,,15:19,,15:30,15:45,,15:55,,,16:25
NEU,1 BOTH,13:40,13:53,,14:07,,14:32,14:43,,15:05,,15:23,,15:35,15:49,,16:00,,,16:29
SWDV,1 BOTH,,13:57,,,,14:36,,,15:09,,15:27,,,15:53,,,,,16:33
BEPR,1 BOTH,,14:01,,,,14:40,,,15:13,,15:31,,,15:57,,,,,16:37
KHAG,1 BOTH,,14:05,,,,14:44,,,15:17,,15:35,,,16:01,,,,,16:41
MANR,3 BOTH,,14:08,,,,14:47,,,15:20,,15:38,,,16:04,,,,,16:44
KNDS,1 BOTH,,14:11,,,,14:50,,,15:23,,15:41,,,16:07,,,,,16:47
PNVL,,,14:16,,,,14:55,,,15:28,,15:46,,,16:12,,,,,16:52
